Voter,Affiliation,1st,2nd,3rd,4th,5th,Year,Award
Doris Burke,ABC/ESPN,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2017,MVP
Doug Collins,ABC/ESPN,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2017,MVP
Doug Haller,Arizona Republic,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Doug Smith,The Toronto Star,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Eddie Sefko,Dallas Morning News,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Erik Horne,The Oklahoman,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Ernie Johnson,Turner,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Flavio Tranquillo,Sky Italia,"Leonard, Kawhi (S.A.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Fran Blinebury,NBA.com,"Leonard, Kawhi (S.A.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Frank Isola,Sirius Radio/New York Daily News,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Gary Washburn,Boston Globe,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Thomas, Isaiah (Bos.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)",2017,MVP
Howard Beck,Bleacher Report,"Harden, James (Hou.)","Leonard, Kawhi (S.A.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Hubie Brown,ABC/ESPN,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Thomas, Isaiah (Bos.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)",2017,MVP
J Falgoust,CSN Washington,"Leonard, Kawhi (S.A.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Wall, John (Was.)","DeRozan, DeMar (Tor.)",2017,MVP
JA Adande,ESPN.com,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Jackie MacMullan,ESPN.com,"Harden, James (Hou.)","Leonard, Kawhi (S.A.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Davis, Anthony (N.O.)",2017,MVP
Jacques Monclar,BEIN Sport,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Thomas, Isaiah (Bos.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)",2017,MVP
Jalen Rose,ABC/ESPN,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Jared Greenberg,Turner,"Harden, James (Hou.)","Leonard, Kawhi (S.A.)","Westbrook, Russell (OKC.)","Thomas, Isaiah (Bos.)","James, LeBron (Cle.)",2017,MVP
Jason Jones,Sacramento Bee,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2017,MVP
Jeff McDonald,San Antonio Express-News,"Leonard, Kawhi (S.A.)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Jeff Zillgitt,USA Today,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Curry, Stephen (G.S.)",2017,MVP
Jerry Zgoda,Minneapolis Star-Tribune,"Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Harden, James (Hou.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Joe Freeman,The Oregonian,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Antetokounmpo, Giannis (Mil.)",2017,MVP
Joe Vardon,Cleveland.com,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2017,MVP
John Schuhmann,NBA.com,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Curry, Stephen (G.S.)",2017,MVP
Jon Barry,ESPN Radio,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2017,MVP
Jon Krawczynski,Associated Press,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Wall, John (Was.)",2017,MVP
Justin Termine,Sirius XM,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Justin Verrier,ESPN.com,"Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Harden, James (Hou.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
KC Johnson,Chicago Tribune,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Antetokounmpo, Giannis (Mil.)",2017,MVP
Keith Pompey,Philadelphia Inquirer,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Kevin Arnovitz,ESPN.com,"Leonard, Kawhi (S.A.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Kevin Ding,Bleacher Report,"Harden, James (Hou.)","James, LeBron (Cle.)","Westbrook, Russell (OKC.)","Curry, Stephen (G.S.)","Leonard, Kawhi (S.A.)",2017,MVP
Kevin Harlan,Turner,"Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Harden, James (Hou.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Kevin O'Connor,The Ringer,"Harden, James (Hou.)","James, LeBron (Cle.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Curry, Stephen (G.S.)",2017,MVP
Kristen Ledlow,Turner,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2017,MVP
Kurt Helin,NBCSports.com,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Lang Whitaker,NBA.com,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Lee Jenkins,Sports Illustrated,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Wall, John (Was.)",2017,MVP
Lisa Yang,Tencent,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Curry, Stephen (G.S.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)",2017,MVP
Manny Navaro,Miami Herald,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2017,MVP
Marc Berman,New York Post,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Curry, Stephen (G.S.)",2017,MVP
Marc Kestecher,ESPN Radio,"Leonard, Kawhi (S.A.)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Marc Spears,The Undefeated,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)","James, LeBron (Cle.)",2017,MVP
Marc Stein,ESPN.com,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Marcelo Nogueira,Ole,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)","Curry, Stephen (G.S.)",2017,MVP
Mark Jackson,ABC/ESPN,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2017,MVP
Mark Medina,LA Daily News,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Matt Moore,CBSSports.com,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Wall, John (Was.)",2017,MVP
Matt Winer,Turner,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Michael Grange,Rogers Sportsnet,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Antetokounmpo, Giannis (Mil.)",2017,MVP
Michael Wilbon,ABC/ESPN,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Michelle Beadle,ABC/ESPN,"Leonard, Kawhi (S.A.)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Mike Breen,ABC/ESPN,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Nate Taylor,Indianapolis Star,"Leonard, Kawhi (S.A.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Fans ,N/A,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Thomas, Isaiah (Bos.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)",2017,MVP
Nira Khurana,Excelsior,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Paul Flannery,SB Nation,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Rachel Nichols,ABC/ESPN,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Curry, Stephen (G.S.)",2017,MVP
Ramona Shelburne,ESPN.com,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Reggie Miller,Turner,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Davis, Anthony (N.O.)",2017,MVP
Ric Bucher,Bleacher Report,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Wall, John (Was.)",2017,MVP
Richard Walker,Gaston Gazette,"Harden, James (Hou.)","Westbrook, Russell (OKC.)","Curry, Stephen (G.S.)","Thomas, Isaiah (Bos.)","Leonard, Kawhi (S.A.)",2017,MVP
Rod Beard,Detroit News,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Ron Tillery,Memphis Commercial-Appeal,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2017,MVP
Royce Young,ESPN,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Curry, Stephen (G.S.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)",2017,MVP
Ryan Wolstat,Toronto Sun,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Antetokounmpo, Giannis (Mil.)",2017,MVP
Sage Steele,ABC/ESPN,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Sam Amick,USA Today,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2017,MVP
Sean Deveney,The Sporting News,"Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Harden, James (Hou.)","James, LeBron (Cle.)","Thomas, Isaiah (Bos.)",2017,MVP
Sekou Smith,NBA.com,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2017,MVP
Sherrod Blakely,CSN New England,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)","James, LeBron (Cle.)",2017,MVP
Steve Aschburner,NBA.com,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2017,MVP
Steve Kyler,Basketball Insiders,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2017,MVP
Steve Smith,Turner,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)","James, LeBron (Cle.)",2017,MVP
Tim Reynolds,Associated Press,"James, LeBron (Cle.)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","Curry, Stephen (G.S.)",2017,MVP
TJ Manotoc,ABC-CBN,"Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","Thomas, Isaiah (Bos.)",2017,MVP
Tony Jones,Salt Lake Tribune,"Harden, James (Hou.)","James, LeBron (Cle.)","Westbrook, Russell (OKC.)","Leonard, Kawhi (S.A.)","Curry, Stephen (G.S.)",2017,MVP
Vince Goodwill,CSN Chicago,"Harden, James (Hou.)","Leonard, Kawhi (S.A.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Antetokounmpo, Giannis (Mil.)",2017,MVP
Weiping Zhang,CCTV,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Yoko Miyaji,Sports Graphic Number,"Westbrook, Russell (OKC.)","Harden, James (Hou.)","Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
Zach Lowe,ESPN.com,"Leonard, Kawhi (S.A.)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Curry, Stephen (G.S.)",2017,MVP
