Voter,Affiliation,1st,2nd,3rd,4th,5th,Year,Award
Lisa Hsu,Tencent,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2020,MVP
Cassidy Hubbarth,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2020,MVP
Kelly Iko,The Athletic,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Lillard, Damian (POR)",2020,MVP
Frank Isola,Sirius Radio,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Davis, Anthony (LAL)","Doncic, Luka (DAL)","Paul, Chris (OKC)",2020,MVP
Mark Jackson,ESPN,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2020,MVP
Ernie Johnson,Turner,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)",2020,MVP
Mark Jones,ESPN,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)","Paul, Chris (OKC)","Harden, James (HOU)",2020,MVP
Fred Katz,The Athletic,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)",2020,MVP
Marc Kestecher,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Davis, Anthony (LAL)",2020,MVP
Chris Kirschner,The Athletic,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2020,MVP
Nick Kosmider,The Athletic,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Doncic, Luka (DAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)",2020,MVP
Andy Larsen,Salt Lake Tribune,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)",2020,MVP
Kristen Ledlow,Turner,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)",2020,MVP
Connor Letourneau,San Francisco Chronicle,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2020,MVP
Greg Logan,Newsday,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Doncic, Luka (DAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)",2020,MVP
Zach Lowe,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)",2020,MVP
Coral Lu,ESPN-Tencent,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)","Jokic, Nikola (DEN)",2020,MVP
Jackie MacMullan,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2020,MVP
Brian Mahoney,Associated Press,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Doncic, Luka (DAL)","Davis, Anthony (LAL)","Siakam, Pascal (TOR)",2020,MVP
Maxime Malet,L'Equipe,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Davis, Anthony (LAL)",2020,MVP
Chris Mannix,Sports Illustrated,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2020,MVP
Diego Martinez,Reforma,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Davis, Anthony (LAL)","Leonard, Kawhi (LAC)",2020,MVP
Jeff McDonald,San Antonio Express-News,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Lillard, Damian (POR)",2020,MVP
Dave McMenamin,ESPN,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Doncic, Luka (DAL)","Paul, Chris (OKC)",2020,MVP
Mark Medina,USA Today,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2020,MVP
Yoko Miyaji,Sports Graphic Number,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2020,MVP
Fans ,N/A,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2020,MVP
Rachel Nichols,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2020,MVP
Kevin O'Connor,The Ringer,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2020,MVP
Candace Parker,Turner,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Lillard, Damian (POR)",2020,MVP
Dave Pasch,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Doncic, Luka (DAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)",2020,MVP
Kevin Pelton,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2020,MVP
Keith Pompey,Philadelphia Inquirer and Daily News,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Davis, Anthony (LAL)","Butler, Jimmy (MIA)","Lillard, Damian (POR)",2020,MVP
Shaun Powell,NBA.com,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Doncic, Luka (DAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)",2020,MVP
Jason Quick,The Athletic,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Doncic, Luka (DAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)",2020,MVP
Duane Rankin,Arizona Republic,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","Harden, James (HOU)",2020,MVP
Remi Reverchon,BeIN Sport (France),"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Doncic, Luka (DAL)","Harden, James (HOU)","Davis, Anthony (LAL)",2020,MVP
Tim Reynolds,Associated Press,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Davis, Anthony (LAL)","Leonard, Kawhi (LAC)",2020,MVP
Josh Robbins,The Athletic,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)",2020,MVP
Jalen Rose,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Siakam, Pascal (TOR)",2020,MVP
Simone Sandri,La Gazzetta Dello Sport,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Paul, Chris (OKC)",2020,MVP
Chris Sasaki,Rakuten,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2020,MVP
John Schuhmann,NBA.com,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Paul, Chris (OKC)",2020,MVP
Dennis Scott,Turner,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Davis, Anthony (LAL)","Leonard, Kawhi (LAC)",2020,MVP
Ramona Shelburne,ESPN,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Paul, Chris (OKC)",2020,MVP
Bill Simmons,The Ringer,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)",2020,MVP
Sekou Smith,NBA.com,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Doncic, Luka (DAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)",2020,MVP
Stephen Smith,ESPN,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Doncic, Luka (DAL)","Davis, Anthony (LAL)",2020,MVP
Steve Smith,Turner,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2020,MVP
Doug Smith,The Toronto Star,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","Harden, James (HOU)",2020,MVP
Seerat Sohi,Yahoo! Sports,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Siakam, Pascal (TOR)","Leonard, Kawhi (LAC)","Jokic, Nikola (DEN)",2020,MVP
Casey Stern,Turner,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Lillard, Damian (POR)","Davis, Anthony (LAL)",2020,MVP
Mirjam Swanson,Southern California News Group,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2020,MVP
Maria Taylor,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2020,MVP
Justin Termine,Sirius Radio,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Paul, Chris (OKC)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)",2020,MVP
Brad Townsend,Dallas Morning News,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2020,MVP
Joe Vardon,The Athletic,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Doncic, Luka (DAL)","Harden, James (HOU)","Davis, Anthony (LAL)",2020,MVP
Matt Velazquez,Milwaukee Journal Sentinel,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2020,MVP
Gary Washburn,Boston Globe,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Doncic, Luka (DAL)","Siakam, Pascal (TOR)",2020,MVP
Michael Wilbon,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Paul, Chris (OKC)",2020,MVP
Brian Windhorst,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Davis, Anthony (LAL)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2020,MVP
Matt Winer,Turner,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Davis, Anthony (LAL)",2020,MVP
Royce Young,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","Siakam, Pascal (TOR)",2020,MVP
Jeff Zillgitt,USA Today,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2020,MVP
