Voter,Affiliation,1st,2nd,3rd,4th,5th,Year,Award
Jason Quick,NBC Sports Northwest,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","Davis, Anthony (NOP)","DeRozan, DeMar (TOR)",2018,MVP
Jeff McDonald,San Antonio Express‐News,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Durant, Kevin (GSW)",2018,MVP
Jeff Zillgitt,USA Today,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","DeRozan, DeMar (TOR)","Lillard, Damian (POR)",2018,MVP
Jerry Zgoda,Minneapolis Star Tribune,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Lillard, Damian (POR)",2018,MVP
Joe Cowley,Chicago Sun‐Times,"James, LeBron (CLE)","Harden, James (HOU)","Butler, Jimmy (MIN)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)",2018,MVP
John Schuhmann,NBA.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)",2018,MVP
Jon Barry,ESPN Radio,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2018,MVP
Justin Termine,Sirius Radio,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Aldridge, LaMarcus (SAS)",2018,MVP
KC Johnson,Chicago Tribune,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2018,MVP
Keith Pompey,Philadelphia Inquirer,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Westbrook, Russell (OKC)","Lillard, Damian (POR)",2018,MVP
Kevin Arnovitz,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2018,MVP
Kevin Harlan,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Embiid, Joel (PHI)",2018,MVP
Kevin O'Connor,The Ringer,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Aldridge, LaMarcus (SAS)","Antetokounmpo, Giannis (MIL)",2018,MVP
Kevin Pelton,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Westbrook, Russell (OKC)",2018,MVP
Kristen Ledlow,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Westbrook, Russell (OKC)","Davis, Anthony (NOP)","Durant, Kevin (GSW)",2018,MVP
Kurt Helin,NBCSports.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2018,MVP
Lee Jenkins,Sports Illustrated,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","Davis, Anthony (NOP)","Durant, Kevin (GSW)",2018,MVP
Lisa Yang,Tencent,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Embiid, Joel (PHI)",2018,MVP
Manny Navarro,Miami Herald,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2018,MVP
Marc Berman,New York Post,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Lillard, Damian (POR)",2018,MVP
Marc Kestecher,ESPN Radio,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Durant, Kevin (GSW)",2018,MVP
Mark Jackson,ABC/ESPN,"Harden, James (HOU)","James, LeBron (CLE)","Westbrook, Russell (OKC)","Davis, Anthony (NOP)","Lillard, Damian (POR)",2018,MVP
Marv Albert,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)","DeRozan, DeMar (TOR)",2018,MVP
Matt Velazquez,Milwaukee Journal Sentinel,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2018,MVP
Matt Winer,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2018,MVP
Michael Grange,Rogers Sportsnet,"Harden, James (HOU)","Davis, Anthony (NOP)","James, LeBron (CLE)","Lillard, Damian (POR)","DeRozan, DeMar (TOR)",2018,MVP
Michael Wilbon,ABC/ESPN,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2018,MVP
Michelle Beadle,ABC/ESPN,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)",2018,MVP
Mike Breen,ABC/ESPN,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2018,MVP
Mike Ganter,Toronto Sun,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","DeRozan, DeMar (TOR)",2018,MVP
Fans ,N/A,"Harden, James (HOU)","James, LeBron (CLE)","Westbrook, Russell (OKC)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)",2018,MVP
Nira Khurana,Excelsior,"Harden, James (HOU)","James, LeBron (CLE)","Westbrook, Russell (OKC)","Davis, Anthony (NOP)","Lillard, Damian (POR)",2018,MVP
Paul Flannery,SB Nation,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Durant, Kevin (GSW)",2018,MVP
Rachel Nichols,ABC/ESPN,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)",2018,MVP
Ramona Shelburne,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Aldridge, LaMarcus (SAS)",2018,MVP
Reggie Miller,Turner,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2018,MVP
Ric Bucher,Bleacher Report,"Harden, James (HOU)","James, LeBron (CLE)","Durant, Kevin (GSW)","Lillard, Damian (POR)","Davis, Anthony (NOP)",2018,MVP
Richard Walker,Gaston Gazette,"Harden, James (HOU)","James, LeBron (CLE)","Durant, Kevin (GSW)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2018,MVP
Rob Mahoney,Sports Illustrated,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2018,MVP
Rod Beard,Detroit News,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)",2018,MVP
Ron Tillery,Memphis Commercial Appeal,"Harden, James (HOU)","Davis, Anthony (NOP)","James, LeBron (CLE)","Westbrook, Russell (OKC)","Lillard, Damian (POR)",2018,MVP
Rosalyn Gold‐Onwude,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2018,MVP
Royce Young,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","Davis, Anthony (NOP)","Durant, Kevin (GSW)",2018,MVP
Sam Amick,USA Today,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Durant, Kevin (GSW)",2018,MVP
Scott Bordow,Arizona Republic,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","DeRozan, DeMar (TOR)","Durant, Kevin (GSW)",2018,MVP
Sean Deveney,The Sporting News,"Harden, James (HOU)","James, LeBron (CLE)","Durant, Kevin (GSW)","Davis, Anthony (NOP)","Westbrook, Russell (OKC)",2018,MVP
Sekou Smith,NBA.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Lillard, Damian (POR)",2018,MVP
Sherrod Blakely,NBC Sports Boston,"Harden, James (HOU)","Davis, Anthony (NOP)","James, LeBron (CLE)","DeRozan, DeMar (TOR)","Durant, Kevin (GSW)",2018,MVP
Stefan Bondy,New York Daily News,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Lillard, Damian (POR)",2018,MVP
Steve Aschburner,NBA.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)",2018,MVP
Steve Smith,Turner,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Westbrook, Russell (OKC)","Durant, Kevin (GSW)",2018,MVP
Thales Soares,Globoesporte.com,"James, LeBron (CLE)","Harden, James (HOU)","Lillard, Damian (POR)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)",2018,MVP
Tim Reynolds,Associated Press,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Westbrook, Russell (OKC)","Durant, Kevin (GSW)",2018,MVP
TJ Manotoc,ABS‐CBN,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Lillard, Damian (POR)",2018,MVP
Tony Jones,Salt Lake Tribune,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Curry, Stephen (GSW)","Lillard, Damian (POR)",2018,MVP
Vincent Goodwill,NBC Sports Chicago,"Harden, James (HOU)","Davis, Anthony (NOP)","James, LeBron (CLE)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2018,MVP
Weiping Zhang,CCTV,"James, LeBron (CLE)","Harden, James (HOU)","Davis, Anthony (NOP)","Durant, Kevin (GSW)","Lillard, Damian (POR)",2018,MVP
Will Guillory,New Orleans Times‐Picayune,"Harden, James (HOU)","Davis, Anthony (NOP)","James, LeBron (CLE)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2018,MVP
Xavier Vaution,BeIn Sport,"Harden, James (HOU)","James, LeBron (CLE)","Lillard, Damian (POR)","Westbrook, Russell (OKC)","Davis, Anthony (NOP)",2018,MVP
Yoko Miyaji,Sports Graphic Number,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Lillard, Damian (POR)","Westbrook, Russell (OKC)",2018,MVP
Zach Lowe,ESPN.com,"Harden, James (HOU)","James, LeBron (CLE)","Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2018,MVP
