Voter,Affiliation,1st,2nd,3rd,4th,5th,Year,Award
Davide Chinellato,La Gazzetta Dello Sport,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Paul, Chris (PHX)","Antetokounmpo, Giannis (MIL)",2021,MVP
Mauricio Codocea,Clarin (Argentina),"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Doncic, Luka (DAL)",2021,MVP
Jamal Collier,Chicago Tribune,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2021,MVP
Antoni Daimiel,Movistar+,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Randle, Julius (NYK)",2021,MVP
Dan Devine,The Ringer,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Paul, Chris (PHX)",2021,MVP
Vote Fan,NBA Fan Vote,"Rose, Derrick (NYK)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Paul, Chris (PHX)",2021,MVP
Chris Fedor,Cleveland.com,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2021,MVP
Joe Freeman,The Oregonian,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)","Curry, Stephen (GSW)",2021,MVP
Vince Goodwill,Yahoo! Sports,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2021,MVP
Kyle Goon,Southern California News Group,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Lillard, Damian (POR)",2021,MVP
Michael Grange,Rogers Sportsnet,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Curry, Stephen (GSW)",2021,MVP
Jared Greenberg,Turner,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Curry, Stephen (GSW)",2021,MVP
Kevin Harlan,Turner,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Curry, Stephen (GSW)",2021,MVP
Zach Harper,The Athletic,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Randle, Julius (NYK)",2021,MVP
Max Haupt,DPA,"Curry, Stephen (GSW)","Doncic, Luka (DAL)","Westbrook, Russell (WAS)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)",2021,MVP
Chris Haynes,Yahoo! Sports,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Lillard, Damian (POR)","Curry, Stephen (GSW)",2021,MVP
Kurt Helin,NBCSports.com,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)",2021,MVP
Adam Himmelsbach,Boston Globe,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)",2021,MVP
Lisa Hsu,Tencent,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)",2021,MVP
Cassidy Hubbarth,ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)",2021,MVP
Kelly Iko,The Athletic,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Randle, Julius (NYK)",2021,MVP
Frank Isola,Sirius Radio,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Paul, Chris (PHX)","Lillard, Damian (POR)","Randle, Julius (NYK)",2021,MVP
Mark Jackson,ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Lillard, Damian (POR)",2021,MVP
Ernie Johnson,Turner,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)",2021,MVP
Jason Jones,The Athletic,"Curry, Stephen (GSW)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)",2021,MVP
Tony Jones,The Athletic,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Gobert, Rudy (UTA)",2021,MVP
Fred Katz,The Athletic,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Embiid, Joel (PHI)",2021,MVP
Marc Kestecher,ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)","Curry, Stephen (GSW)",2021,MVP
Chris Kirschner,The Athletic,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)",2021,MVP
Scott Kushner,New Orleans Times Picayune,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)",2021,MVP
Brian Lewis,New York Post,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Harden, James (BKN)",2021,MVP
Zach Lowe,ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)",2021,MVP
Jackie MacMullan,ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Paul, Chris (PHX)",2021,MVP
Brian Mahoney,Associated Press,"Curry, Stephen (GSW)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2021,MVP
Rob Mahoney,The Ringer,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)",2021,MVP
Chris Mannix,Sports Illustrated,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Curry, Stephen (GSW)",2021,MVP
Diego Martinez,Reforma,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)",2021,MVP
Jeff McDonald,San Antonio Express-News,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)",2021,MVP
Dave McMenamin,ESPN,"Paul, Chris (PHX)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)",2021,MVP
Mark Medina,USA Today,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Paul, Chris (PHX)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)",2021,MVP
Yoko Miyaji,Sports Graphic Number,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)",2021,MVP
Joe Mussatto,The Oklahoman,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2021,MVP
Rachel Nichols,ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)",2021,MVP
Kevin O'Connor,The Ringer,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Doncic, Luka (DAL)",2021,MVP
James Owczarski,Milwaukee Journal Sentinel,"Jokic, Nikola (DEN)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Curry, Stephen (GSW)",2021,MVP
Candace Parker,Turner,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Antetokounmpo, Giannis (MIL)",2021,MVP
Roy Parry,Orlando Sentinel,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Lillard, Damian (POR)",2021,MVP
Dave Pasch,ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Paul, Chris (PHX)",2021,MVP
Kevin Pelton,ESPN,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Lillard, Damian (POR)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)",2021,MVP
Keith Pompey,Philadelphia Inquirer and Daily News,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)",2021,MVP
Shaun Powell,NBA.com,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Paul, Chris (PHX)",2021,MVP
Duane Rankin,Arizona Republic,"Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Paul, Chris (PHX)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)",2021,MVP
Bill Reiter,CBSSports.com,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Paul, Chris (PHX)",2021,MVP
Tim Reynolds,Associated Press,"Curry, Stephen (GSW)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)",2021,MVP
Melissa Rohlin,Fox Sports,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)",2021,MVP
Taylor Rooks,Bleacher Report,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Paul, Chris (PHX)",2021,MVP
Jalen Rose,ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Paul, Chris (PHX)","Antetokounmpo, Giannis (MIL)",2021,MVP
Simone Sandri,Gazzetta.it,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Doncic, Luka (DAL)",2021,MVP
Omari Sankofa,Detroit Free Press,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Randle, Julius (NYK)",2021,MVP
John Schuhmann,NBA.com,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Gobert, Rudy (UTA)",2021,MVP
Guillermo Schutz,Televisa (TUDN),"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)",2021,MVP
Dennis Scott,Turner,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Paul, Chris (PHX)","Doncic, Luka (DAL)",2021,MVP
Ramona Shelburne,ESPN,"Curry, Stephen (GSW)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Antetokounmpo, Giannis (MIL)",2021,MVP
Bill Simmons,The Ringer,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Paul, Chris (PHX)","Randle, Julius (NYK)",2021,MVP
Mike Singer,Denver Post,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)",2021,MVP
Anthony Slater,The Athletic,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2021,MVP
Doug Smith,The Toronto Star,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)",2021,MVP
Stephen Smith,ESPN,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Embiid, Joel (PHI)","Randle, Julius (NYK)","Lillard, Damian (POR)",2021,MVP
Steve Smith,Turner,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Randle, Julius (NYK)",2021,MVP
Seerat Sohi,The Ringer,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)",2021,MVP
Daisuke Sugiura,Nihon Keizai Shimbun,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Paul, Chris (PHX)",2021,MVP
Mirjam Swanson,Southern California News Group,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)",2021,MVP
Maria Taylor,ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2021,MVP
Justin Termine,Sirius Radio,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)","Lillard, Damian (POR)",2021,MVP
Brad Townsend,Dallas Morning News,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Doncic, Luka (DAL)","Antetokounmpo, Giannis (MIL)",2021,MVP
Christos Tsaltas,SDNA.gr,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Curry, Stephen (GSW)",2021,MVP
Olgun Uluc,ESPN Australia,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Paul, Chris (PHX)",2021,MVP
Joe Vardon,The Athletic,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Randle, Julius (NYK)",2021,MVP
Gary Washburn,Boston Globe,"Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Lillard, Damian (POR)",2021,MVP
Michael Wilbon,ESPN,"Jokic, Nikola (DEN)","Paul, Chris (PHX)","Curry, Stephen (GSW)","Randle, Julius (NYK)","Embiid, Joel (PHI)",2021,MVP
Brian Windhorst,ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Paul, Chris (PHX)",2021,MVP
Matt Winer,Turner,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Paul, Chris (PHX)","Curry, Stephen (GSW)",2021,MVP
Ryan Wolstat,The Toronto Sun,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2021,MVP
Michael Wright,NBA.com,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Paul, Chris (PHX)",2021,MVP
Royce Young,ESPN,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)",2021,MVP
Jeff Zillgitt,USA Today,"Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Paul, Chris (PHX)",2021,MVP
