Voter,Affiliation,1st,2nd,3rd,Year,Award
Lisa Hsu,Tencent,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Rose, Derrick (NYK)",2021,6th
Cassidy Hubbarth,ESPN,"Clarkson, Jordan (UTA)","Brunson, Jalen (DAL)","Rose, Derrick (NYK)",2021,6th
Kelly Iko,The Athletic,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Hardaway Jr., Tim (DAL)",2021,6th
Frank Isola,Sirius Radio,"Clarkson, Jordan (UTA)","Milton, Shake (PHI)","Brunson, Jalen (DAL)",2021,6th
Mark Jackson,ESPN,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Rose, Derrick (NYK)",2021,6th
Ernie Johnson,Turner,"Clarkson, Jordan (UTA)","Rose, Derrick (NYK)","Portis, Bobby (MIL)",2021,6th
Jason Jones,The Athletic,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Brunson, Jalen (DAL)",2021,6th
Tony Jones,The Athletic,"Clarkson, Jordan (UTA)","Brunson, Jalen (DAL)","Ingles, Joe (UTA)",2021,6th
Fred Katz,The Athletic,"Ingles, Joe (UTA)","Brunson, Jalen (DAL)","Clarkson, Jordan (UTA)",2021,6th
Marc Kestecher,ESPN,"Clarkson, Jordan (UTA)","Brunson, Jalen (DAL)","Rose, Derrick (NYK)",2021,6th
Chris Kirschner,The Athletic,"Ingles, Joe (UTA)","Brunson, Jalen (DAL)","Clarkson, Jordan (UTA)",2021,6th
Scott Kushner,New Orleans Times Picayune,"Ingles, Joe (UTA)","Clarkson, Jordan (UTA)","Harrell, Montrezl (LAL)",2021,6th
Brian Lewis,New York Post,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Rose, Derrick (NYK)",2021,6th
Zach Lowe,ESPN,"Ingles, Joe (UTA)","Clarkson, Jordan (UTA)","Hardaway Jr., Tim (DAL)",2021,6th
Jackie MacMullan,ESPN,"Ingles, Joe (UTA)","Clarkson, Jordan (UTA)","Harrell, Montrezl (LAL)",2021,6th
Brian Mahoney,Associated Press,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Portis, Bobby (MIL)",2021,6th
Rob Mahoney,The Ringer,"Ingles, Joe (UTA)","Clarkson, Jordan (UTA)","Young, Thaddeus (CHI)",2021,6th
Chris Mannix,Sports Illustrated,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Harrell, Montrezl (LAL)",2021,6th
Diego Martinez,Reforma,"Clarkson, Jordan (UTA)","Harrell, Montrezl (LAL)","Ingles, Joe (UTA)",2021,6th
Jeff McDonald,San Antonio Express-News,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Brunson, Jalen (DAL)",2021,6th
Dave McMenamin,ESPN,"Clarkson, Jordan (UTA)","Rose, Derrick (NYK)","Brunson, Jalen (DAL)",2021,6th
Mark Medina,USA Today,"Clarkson, Jordan (UTA)","Brunson, Jalen (DAL)","Rose, Derrick (NYK)",2021,6th
Yoko Miyaji,Sports Graphic Number,"Ingles, Joe (UTA)","Clarkson, Jordan (UTA)","Rose, Derrick (NYK)",2021,6th
Joe Mussatto,The Oklahoman,"Ingles, Joe (UTA)","Clarkson, Jordan (UTA)","Rose, Derrick (NYK)",2021,6th
Rachel Nichols,ESPN,"Ingles, Joe (UTA)","Clarkson, Jordan (UTA)","Rose, Derrick (NYK)",2021,6th
Kevin O'Connor,The Ringer,"Ingles, Joe (UTA)","Clarkson, Jordan (UTA)","Brunson, Jalen (DAL)",2021,6th
James Owczarski,Milwaukee Journal Sentinel,"Ingles, Joe (UTA)","Clarkson, Jordan (UTA)","Brunson, Jalen (DAL)",2021,6th
Candace Parker,Turner,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Hardaway Jr., Tim (DAL)",2021,6th
Roy Parry,Orlando Sentinel,"Clarkson, Jordan (UTA)","McConnell, T.J. (IND)","Portis, Bobby (MIL)",2021,6th
Dave Pasch,ESPN,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Rose, Derrick (NYK)",2021,6th
Kevin Pelton,ESPN,"Ingles, Joe (UTA)","Clarkson, Jordan (UTA)","Boucher, Chris (TOR)",2021,6th
Keith Pompey,Philadelphia Inquirer and Daily News,"Clarkson, Jordan (UTA)","Rose, Derrick (NYK)","Anthony, Carmelo (POR)",2021,6th
Shaun Powell,NBA.com,"Clarkson, Jordan (UTA)","Bridges, Miles (CHA)","Young, Thaddeus (CHI)",2021,6th
Duane Rankin,Arizona Republic,"Clarkson, Jordan (UTA)","Rose, Derrick (NYK)","Portis, Bobby (MIL)",2021,6th
Bill Reiter,CBSSports.com,"Ingles, Joe (UTA)","Clarkson, Jordan (UTA)","Brunson, Jalen (DAL)",2021,6th
Tim Reynolds,Associated Press,"Clarkson, Jordan (UTA)","Brunson, Jalen (DAL)","Ingles, Joe (UTA)",2021,6th
Melissa Rohlin,Fox Sports,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Brunson, Jalen (DAL)",2021,6th
Taylor Rooks,Bleacher Report,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Brunson, Jalen (DAL)",2021,6th
Jalen Rose,ESPN,"Clarkson, Jordan (UTA)","Rose, Derrick (NYK)","Portis, Bobby (MIL)",2021,6th
Simone Sandri,Gazzetta.it,"Clarkson, Jordan (UTA)","Rose, Derrick (NYK)","Brunson, Jalen (DAL)",2021,6th
Omari Sankofa,Detroit Free Press,"Ingles, Joe (UTA)","Clarkson, Jordan (UTA)","Brunson, Jalen (DAL)",2021,6th
John Schuhmann,NBA.com,"Ingles, Joe (UTA)","Clarkson, Jordan (UTA)","Kanter, Enes (POR)",2021,6th
Guillermo Schutz,Televisa (TUDN),"Ingles, Joe (UTA)","Clarkson, Jordan (UTA)","Rose, Derrick (NYK)",2021,6th
Dennis Scott,Turner,"Clarkson, Jordan (UTA)","Rose, Derrick (NYK)","Hardaway Jr., Tim (DAL)",2021,6th
Ramona Shelburne,ESPN,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Hardaway Jr., Tim (DAL)",2021,6th
Bill Simmons,The Ringer,"Clarkson, Jordan (UTA)","Rose, Derrick (NYK)","Ingles, Joe (UTA)",2021,6th
Mike Singer,Denver Post,"Ingles, Joe (UTA)","Clarkson, Jordan (UTA)","Rose, Derrick (NYK)",2021,6th
Anthony Slater,The Athletic,"Ingles, Joe (UTA)","Brunson, Jalen (DAL)","Clarkson, Jordan (UTA)",2021,6th
Doug Smith,The Toronto Star,"Ingles, Joe (UTA)","Clarkson, Jordan (UTA)","Rose, Derrick (NYK)",2021,6th
Stephen Smith,ESPN,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Brunson, Jalen (DAL)",2021,6th
Steve Smith,Turner,"Clarkson, Jordan (UTA)","Brunson, Jalen (DAL)","Ingles, Joe (UTA)",2021,6th
Seerat Sohi,The Ringer,"Ingles, Joe (UTA)","Clarkson, Jordan (UTA)","Brunson, Jalen (DAL)",2021,6th
Daisuke Sugiura,Nihon Keizai Shimbun,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Rose, Derrick (NYK)",2021,6th
Mirjam Swanson,Southern California News Group,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Anthony, Carmelo (POR)",2021,6th
Maria Taylor,ESPN,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Anthony, Carmelo (POR)",2021,6th
Justin Termine,Sirius Radio,"Ingles, Joe (UTA)","Clarkson, Jordan (UTA)","Brunson, Jalen (DAL)",2021,6th
Brad Townsend,Dallas Morning News,"Ingles, Joe (UTA)","Brunson, Jalen (DAL)","Hardaway Jr., Tim (DAL)",2021,6th
Christos Tsaltas,SDNA.gr,"Clarkson, Jordan (UTA)","Anthony, Carmelo (POR)","Campazzo, Facundo (DEN)",2021,6th
Olgun Uluc,ESPN Australia,"Ingles, Joe (UTA)","Clarkson, Jordan (UTA)","Brunson, Jalen (DAL)",2021,6th
Joe Vardon,The Athletic,"Clarkson, Jordan (UTA)","Brunson, Jalen (DAL)","Rose, Derrick (NYK)",2021,6th
Gary Washburn,Boston Globe,"Clarkson, Jordan (UTA)","Rose, Derrick (NYK)","Ingles, Joe (UTA)",2021,6th
Michael Wilbon,ESPN,"Clarkson, Jordan (UTA)","Rose, Derrick (NYK)","Harrell, Montrezl (LAL)",2021,6th
Brian Windhorst,ESPN,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Rose, Derrick (NYK)",2021,6th
Matt Winer,Turner,"Clarkson, Jordan (UTA)","Rose, Derrick (NYK)","Ingles, Joe (UTA)",2021,6th
Ryan Wolstat,The Toronto Sun,"Rose, Derrick (NYK)","Ingles, Joe (UTA)","McConnell, T.J. (IND)",2021,6th
Michael Wright,NBA.com,"Clarkson, Jordan (UTA)","Ingles, Joe (UTA)","Brunson, Jalen (DAL)",2021,6th
Royce Young,ESPN,"Clarkson, Jordan (UTA)","Hardaway Jr., Tim (DAL)","Ingles, Joe (UTA)",2021,6th
Jeff Zillgitt,USA Today,"Clarkson, Jordan (UTA)","Rose, Derrick (NYK)","Brunson, Jalen (DAL)",2021,6th
