Voter,Affiliation,1st,2nd,3rd,4th,5th,Year,Award
Rosalyn Gold-Onwude,Turner,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Embiid, Joel (PHI)","Lillard, Damian (POR)",2019,MVP
Vince Goodwill,Yahoo!,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)",2019,MVP
Michael Grange,Rogers Sportsnet,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Jokic, Nikola (DEN)","George, Paul (OKC)","Lillard, Damian (POR)",2019,MVP
Jared Greenberg,Turner,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)","George, Paul (OKC)",2019,MVP
Will Guillory,The Athletic,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","George, Paul (OKC)","Curry, Stephen (GSW)",2019,MVP
Kevin Harlan,Turner Sports,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)",2019,MVP
Zach Harper,The Athletic,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","Lillard, Damian (POR)",2019,MVP
Chris Haynes,Yahoo! Sports,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Lillard, Damian (POR)","Jokic, Nikola (DEN)","George, Paul (OKC)",2019,MVP
Kurt Helin,NBCSports.com,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Durant, Kevin (GSW)","Lillard, Damian (POR)",2019,MVP
Erik Horne,The Oklahoman,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)",2019,MVP
Lisa Hsu,Tencent,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Curry, Stephen (GSW)","Embiid, Joel (PHI)",2019,MVP
Cassidy Hubbarth,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)",2019,MVP
Kelly Iko,The Athletic,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)",2019,MVP
Frank Isola,Sirius Radio/The Athletic,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)",2019,MVP
Mark Jackson,ESPN,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Durant, Kevin (GSW)","Westbrook, Russell (OKC)",2019,MVP
K.C. Johnson,Chicago Tribune,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)",2019,MVP
Mark Jones,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","Lillard, Damian (POR)",2019,MVP
Fred Katz,The Athletic,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Durant, Kevin (GSW)","Curry, Stephen (GSW)",2019,MVP
Marc Kestecher,ESPN,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)",2019,MVP
Nira Khurana,Perform,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Jokic, Nikola (DEN)","George, Paul (OKC)","Curry, Stephen (GSW)",2019,MVP
Kennegh Lau,BesTV,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Curry, Stephen (GSW)","Durant, Kevin (GSW)","Embiid, Joel (PHI)",2019,MVP
Kristen Ledlow,Turner Sports,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","Embiid, Joel (PHI)",2019,MVP
Brian Lewis,New York Post,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)",2019,MVP
Massimo Pegna,La Gazzetta dello Sport,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Embiid, Joel (PHI)","Westbrook, Russell (OKC)","Curry, Stephen (GSW)",2019,MVP
Zach Lowe,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)",2019,MVP
Tim MacMahon,ESPN,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)","Curry, Stephen (GSW)",2019,MVP
Jackie MacMullan,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)",2019,MVP
Brian Mahoney,Associated Press,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)",2019,MVP
Rob Mahoney,Sports Illustrated,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Lillard, Damian (POR)","Jokic, Nikola (DEN)",2019,MVP
Maxime Malet,L'Equipe,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Curry, Stephen (GSW)","George, Paul (OKC)","Embiid, Joel (PHI)",2019,MVP
Chris Mannix,Sports Illustrated,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Jokic, Nikola (DEN)","George, Paul (OKC)","Lillard, Damian (POR)",2019,MVP
Diego Martinez,Reforma,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Leonard, Kawhi (TOR)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)",2019,MVP
Jeff McDonald,San Antonio Express-News,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)",2019,MVP
Dave McMenamin,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Curry, Stephen (GSW)","George, Paul (OKC)","Embiid, Joel (PHI)",2019,MVP
Reggie Miller,Turner Sports,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Curry, Stephen (GSW)","George, Paul (OKC)","Durant, Kevin (GSW)",2019,MVP
Fans ,N/A,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","James, LeBron (LAL)",2019,MVP
Rachel Nichols,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)",2019,MVP
Kevin O'Connor,The Ringer,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Jokic, Nikola (DEN)","George, Paul (OKC)","Embiid, Joel (PHI)",2019,MVP
Bill Oram,The Athletic,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)",2019,MVP
Dave Pasch,ESPN,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)",2019,MVP
Kevin Pelton,ESPN,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Lillard, Damian (POR)","Curry, Stephen (GSW)",2019,MVP
Keith Pompey,Philadelphia Inqurier and Daily News,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Embiid, Joel (PHI)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)",2019,MVP
Duane Rankin,Arizona Republic,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Leonard, Kawhi (TOR)","Westbrook, Russell (OKC)","Curry, Stephen (GSW)",2019,MVP
Tim Reynolds,Associated Press,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Curry, Stephen (GSW)","George, Paul (OKC)","Lillard, Damian (POR)",2019,MVP
Josh Robbins,The Athletic,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)",2019,MVP
Jalen Rose,ESPN,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","George, Paul (OKC)","Leonard, Kawhi (TOR)",2019,MVP
John Schuhmann,NBA.com,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Jokic, Nikola (DEN)","George, Paul (OKC)","Lillard, Damian (POR)",2019,MVP
Guillermo Schutz,Televisa,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)",2019,MVP
Dennis Scott,Turner Sports,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","George, Paul (OKC)",2019,MVP
Andrew Sharp,Sports Illustrated,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)","Lillard, Damian (POR)",2019,MVP
Ramona Shelburne,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Embiid, Joel (PHI)",2019,MVP
Bill Simmons,The Ringer,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Jokic, Nikola (DEN)","Lillard, Damian (POR)","George, Paul (OKC)",2019,MVP
Mike Singer,Denver Post,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)",2019,MVP
Anthony Slater,The Athletic,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Durant, Kevin (GSW)","George, Paul (OKC)","Jokic, Nikola (DEN)",2019,MVP
Doug Smith,Toronto Star,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)","Embiid, Joel (PHI)",2019,MVP
Sekou Smith,NBA.com,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)",2019,MVP
Steve Smith,Turner Sports,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)",2019,MVP
Casey Stern,Turner Sports,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Leonard, Kawhi (TOR)",2019,MVP
Mirjam Swanson,Southern California News Group,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","Jokic, Nikola (DEN)","George, Paul (OKC)","Lillard, Damian (POR)",2019,MVP
Justin Termine,Sirius Radio,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Curry, Stephen (GSW)","George, Paul (OKC)","Lillard, Damian (POR)",2019,MVP
Flavio Tranquillo,Sky Italia,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","Lillard, Damian (POR)",2019,MVP
Olgun Uluc,Fox Sports Australia,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)",2019,MVP
Joe Vardon,The Athletic,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)","George, Paul (OKC)",2019,MVP
Matt Velazquez,Milwaukee Journal Sentinel,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)",2019,MVP
Andre Voigt,DAZN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)",2019,MVP
Richard Walker,Gaston Gazette,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Curry, Stephen (GSW)","Embiid, Joel (PHI)","Lillard, Damian (POR)",2019,MVP
Gary Washburn,Boston Globe,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Embiid, Joel (PHI)","Lillard, Damian (POR)",2019,MVP
Michael Wilbon,ESPN,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Jokic, Nikola (DEN)","Curry, Stephen (GSW)",2019,MVP
Brian Windhorst,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Embiid, Joel (PHI)","Curry, Stephen (GSW)",2019,MVP
Matt Winer,Turner Sports,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)","Lillard, Damian (POR)",2019,MVP
Ryan Wolstat,Toronto Sun,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)",2019,MVP
Eric Woodyard,Deseret News,"Harden, James (HOU)","Antetokounmpo, Giannis (MIL)","George, Paul (OKC)","Embiid, Joel (PHI)","Leonard, Kawhi (TOR)",2019,MVP
Royce Young,ESPN,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Lillard, Damian (POR)","George, Paul (OKC)","Jokic, Nikola (DEN)",2019,MVP
Weiping Zhang,CCTV,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Curry, Stephen (GSW)","Jokic, Nikola (DEN)","George, Paul (OKC)",2019,MVP
Jeff Zillgitt,USA Today,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","George, Paul (OKC)","Jokic, Nikola (DEN)","Lillard, Damian (POR)",2019,MVP
